Team,Rating,Rating Deviation
Georgia,2129.44,145.62
UT San Antonio,2064.46,163.18
Cincinnati,2056.95,156.31
Ohio State,2003.64,128.57
Oklahoma State,2003.49,135.59
Oklahoma,2000.09,136.13
Alabama,1991.29,133.97
Michigan,1982.27,139.51
Notre Dame,1981.54,138.78
Ole Miss,1965.11,127.78
Baylor,1959.48,128.19
San Diego State,1943.35,135.92
Michigan State,1915.74,134.03
Louisiana,1915.6,132.9
Iowa,1912.02,132.27
Texas A&M,1898.63,127.21
Wisconsin,1894.98,134.56
BYU,1893.47,134.18
Houston,1883.49,136.96
Pittsburgh,1878.75,125.63
Boise State,1866.88,133
Appalachian State,1861.47,132.76
Wake Forest,1858.43,135.17
Oregon,1852.6,139.07
Air Force,1848.72,125.81
Clemson,1848.28,128.91
Fresno State,1839.18,131.82
Utah,1836.84,125.93
Arkansas,1829.16,124.32
Mississippi State,1827.27,127.55
NC State,1810.96,125.49
Kentucky,1805.28,136.34
Coastal Carolina,1793.36,143.6
SMU,1793,138.87
Purdue,1792.91,131.3
Kansas State,1787.51,124.99
Penn State,1783.66,129
Northern Illinois,1775.94,128.6
Auburn,1762.76,122.11
Utah State,1753.37,135.41
Tennessee,1750.81,129.07
Army,1731.49,154.09
Nevada,1728.49,131.04
Iowa State,1726.87,126.78
East Carolina,1714.31,128.78
Virginia,1712.94,123.19
Arizona State,1712.4,121.72
Liberty,1711.56,134.05
Incarnate Word,1708.75,277.97
UAB,1707.64,129.47
Minnesota,1707.07,124.49
Miami,1705.45,128.5
North Carolina,1700,130.89
West Virginia,1697.63,127.22
Texas Tech,1697.57,130.41
UCLA,1697.48,125.94
Central Michigan,1694.88,122.48
Western Kentucky,1694.42,127.68
South Carolina,1691.23,124.44
Georgia State,1690.27,135.1
UCF,1689.13,133.97
LSU,1687.94,126.3
Missouri,1683.85,129.06
Louisville,1683.15,126.56
Florida State,1679.28,137.35
TCU,1679.19,132.22
Oregon State,1679.04,125.13
Washington State,1671.33,129.96
Montana,1662.31,290.32
South Dakota State,1662.31,290.32
Eastern Washington,1662.31,290.32
East Tennessee State,1662.31,290.32
UC Davis,1662.31,290.32
Kent State,1651.52,132.51
UTEP,1647.65,134.13
Wyoming,1643.07,127.45
Eastern Michigan,1635.83,122.84
Holy Cross,1629.7,283.79
Maryland,1628.7,130.05
Boston College,1624.66,121.86
Marshall,1619.96,124.1
Memphis,1618.48,125.68
Troy,1613.62,123.98
Northern Arizona,1612.93,283.21
Rutgers,1610.5,125.79
Syracuse,1609.54,127.21
Ball State,1603.19,128.51
Western Michigan,1602.58,127.2
Illinois,1599.08,135.01
Florida,1598.84,129.01
Rhode Island,1591.97,280.44
Toledo,1586.85,124.72
Virginia Tech,1575.92,121.56
Miami (OH),1573.38,127.1
Texas,1570.02,127.52
Tulsa,1563.66,134.36
San José State,1553.35,130.72
Florida Atlantic,1552.79,123.98
Old Dominion,1534.94,128.19
North Texas,1531.02,131.28
Hawai'i,1517.31,126.3
Jacksonville State,1511.1,245
Duquesne,1511.1,245
South Alabama,1510.46,128.42
Nebraska,1508.31,135.95
USC,1506.5,133.92
Louisiana Monroe,1504.53,126.35
Washington,1498.78,129.33
Middle Tennessee,1495.58,129.02
California,1481.77,139.18
Colorado,1480.99,130.68
Georgia Tech,1478.33,128.72
Northwestern,1464.38,139.29
Stanford,1461.9,122.94
Texas State,1452.81,130.28
Navy,1452.64,155.12
Maine,1451.55,225.37
Prairie View,1447.72,303.37
Colorado State,1447.6,127.2
Villanova,1446.19,307.58
Charlotte,1445.96,122.53
Duke,1440.08,129.24
New Mexico,1439.34,138.08
Stony Brook,1438.34,304.1
Buffalo,1436.1,127.15
Kansas,1434.47,146.2
Tennessee State,1432.59,291.65
Temple,1432.4,131.46
Chattanooga,1429.62,298.73
Delaware,1429.62,298.73
UNLV,1427.92,162.05
Towson,1426.08,294.5
Lamar,1420.18,296.35
Georgia Southern,1419.9,134.69
Arkansas-Pine Bluff,1418.87,284.06
Alcorn State,1417.9,292.88
Indiana,1417.75,140.67
North Dakota,1407.26,290.41
North Carolina Central,1407.26,290.41
Stephen F. Austin,1407.26,290.41
Western Carolina,1407.26,290.41
Southern Illinois,1407.26,290.41
Howard,1407.26,290.41
Austin Peay,1407.26,290.41
Youngstown State,1407.26,290.41
Alabama State,1407.26,290.41
Mercer,1407.26,290.41
Bucknell,1404.79,277.31
New Hampshire,1401.13,280.93
Richmond,1399.32,280.18
Wofford,1399.28,271.68
Louisiana Tech,1397.78,132.23
Ohio,1391.96,136.6
Bowling Green,1385.39,128.04
Rice,1383.94,133.39
The Citadel,1383.36,286.93
Houston Baptist,1383.36,286.93
Monmouth,1383.36,286.93
Colgate,1383.36,286.93
Missouri State,1383.36,286.93
St Francis (PA),1383.36,286.93
Montana State,1383.36,286.93
Lafayette,1383.36,286.93
William & Mary,1383.36,286.93
Northern Iowa,1383.36,286.93
Northwestern State,1383.36,286.93
Weber State,1383.36,286.93
South Dakota,1383.36,286.93
Western Illinois,1383.36,286.93
Northern Colorado,1383.36,286.93
Eastern Illinois,1383.36,286.93
UT Martin,1383.36,286.93
Southern,1383.36,286.93
Campbell,1383.36,286.93
Abilene Christian,1383.36,286.93
Central Arkansas,1383.36,286.93
Albany,1380.32,276.69
Furman,1380.32,276.69
Tennessee Tech,1380.32,276.69
Southeast Missouri State,1380.32,276.69
Samford,1379.54,264.63
Idaho State,1378.86,269.65
Cal Poly,1377.15,276.08
Tulane,1370.74,145.7
Charleston Southern,1369.6,270.2
Central Connecticut,1368.94,271.86
Elon,1365.39,273.19
South Florida,1361.08,144.41
Bethune-Cookman,1350.5,259.02
McNeese,1349.64,276.33
Vanderbilt,1343.09,143.83
Arkansas State,1342.57,146.14
Robert Morris,1342.31,275.57
Indiana State,1342.31,275.57
Illinois State,1342.31,275.57
Kennesaw State,1342.31,275.57
North Carolina A&T,1342.31,275.57
Eastern Kentucky,1342.31,275.57
Jackson State,1342.31,275.57
Hampton,1342.31,275.57
VMI,1342.31,275.57
Morgan State,1342.31,275.57
Southeastern Louisiana,1342.31,275.57
Gardner-Webb,1330.87,257.99
Norfolk State,1330.87,257.99
Southern Mississippi,1327.87,142.32
Sacramento State,1316.08,272.41
Florida A&M,1316.08,272.41
Southern Utah,1312.65,252.88
Bryant,1293.73,272.39
Wagner,1292.27,240.51
Fordham,1288.33,246.22
Murray State,1287.56,241.01
Nicholls,1286.77,243.38
Idaho,1283.11,243.59
Grambling,1275,240.47
Akron,1273.41,135.98
Portland State,1258.28,237.64
Texas Southern,1255.35,238.3
Arizona,1245.79,158.9
New Mexico State,1233.18,157.05
South Carolina State,1228.51,230.53
Long Island University,1205.32,212.22
UMass,1202.05,152.38
Florida International,1194.31,133.43
Connecticut,1191.58,159.39
Yale,1174.16,285.19